The current job ID is 16136
List of CUDA devices: 0

Job ID: 16136
CUDA_VISIBLE_DEVICES: 0
==== Job started at Mon Apr 20 22:24:55 CST 2026 ====
==== Current working directory is /home/user_milksang/private/homefile/RL_smoothen/toy_model ====
Mon Apr 20 22:24:55 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 590.48.01              Driver Version: 590.48.01      CUDA Version: 13.1     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                Off |   00000000:27:00.0 Off |                    0 |
| N/A   33C    P0             70W /  600W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
============================================================
Step 1: Building FlowModel + boltzmann Pretraining...
============================================================
  Model: layers=8, hidden=64, coupling=affine, params=35,344
  Generating fixed dataset: 100000 samples from Boltzmann(beta=1.0)...
  Dataset ready. Shape: torch.Size([100000, 2])
  Pretrain (Boltzmann β=1.0) epoch 0/1000, NLL=2.3345
  Pretrain (Boltzmann β=1.0) epoch 5/1000, NLL=2.1705
  Pretrain (Boltzmann β=1.0) epoch 10/1000, NLL=2.0477
  Pretrain (Boltzmann β=1.0) epoch 15/1000, NLL=2.2003
  Pretrain (Boltzmann β=1.0) epoch 20/1000, NLL=2.1056
  Pretrain (Boltzmann β=1.0) epoch 25/1000, NLL=2.1208
  Pretrain (Boltzmann β=1.0) epoch 30/1000, NLL=2.1325
  Pretrain (Boltzmann β=1.0) epoch 35/1000, NLL=2.1248
  Pretrain (Boltzmann β=1.0) epoch 40/1000, NLL=2.0639
  Pretrain (Boltzmann β=1.0) epoch 45/1000, NLL=2.1561
  Pretrain (Boltzmann β=1.0) epoch 50/1000, NLL=2.1558
  Pretrain (Boltzmann β=1.0) epoch 55/1000, NLL=2.2435
  Pretrain (Boltzmann β=1.0) epoch 60/1000, NLL=2.2232
  Pretrain (Boltzmann β=1.0) epoch 65/1000, NLL=2.1377
  Pretrain (Boltzmann β=1.0) epoch 70/1000, NLL=2.1490
  Pretrain (Boltzmann β=1.0) epoch 75/1000, NLL=2.1363
  Pretrain (Boltzmann β=1.0) epoch 80/1000, NLL=2.2040
  Pretrain (Boltzmann β=1.0) epoch 85/1000, NLL=2.1165
  Pretrain (Boltzmann β=1.0) epoch 90/1000, NLL=2.1429
  Pretrain (Boltzmann β=1.0) epoch 95/1000, NLL=2.1046
  Pretrain (Boltzmann β=1.0) epoch 100/1000, NLL=2.0923
  Pretrain (Boltzmann β=1.0) epoch 105/1000, NLL=2.1256
  Pretrain (Boltzmann β=1.0) epoch 110/1000, NLL=2.1255
  Pretrain (Boltzmann β=1.0) epoch 115/1000, NLL=2.0409
  Pretrain (Boltzmann β=1.0) epoch 120/1000, NLL=2.1432
  Pretrain (Boltzmann β=1.0) epoch 125/1000, NLL=2.1771
  Pretrain (Boltzmann β=1.0) epoch 130/1000, NLL=2.0819
  Pretrain (Boltzmann β=1.0) epoch 135/1000, NLL=2.1673
  Pretrain (Boltzmann β=1.0) epoch 140/1000, NLL=2.1148
  Pretrain (Boltzmann β=1.0) epoch 145/1000, NLL=2.1282
  Pretrain (Boltzmann β=1.0) epoch 150/1000, NLL=2.1267
  Pretrain (Boltzmann β=1.0) epoch 155/1000, NLL=2.0584
  Pretrain (Boltzmann β=1.0) epoch 160/1000, NLL=2.0679
  Pretrain (Boltzmann β=1.0) epoch 165/1000, NLL=2.0030
  Pretrain (Boltzmann β=1.0) epoch 170/1000, NLL=2.0077
  Pretrain (Boltzmann β=1.0) epoch 175/1000, NLL=1.8674
  Pretrain (Boltzmann β=1.0) epoch 180/1000, NLL=1.8964
  Pretrain (Boltzmann β=1.0) epoch 185/1000, NLL=1.8316
  Pretrain (Boltzmann β=1.0) epoch 190/1000, NLL=1.5658
  Pretrain (Boltzmann β=1.0) epoch 195/1000, NLL=1.5640
  Pretrain (Boltzmann β=1.0) epoch 200/1000, NLL=1.2904
  Pretrain (Boltzmann β=1.0) epoch 205/1000, NLL=1.2925
  Pretrain (Boltzmann β=1.0) epoch 210/1000, NLL=1.0714
  Pretrain (Boltzmann β=1.0) epoch 215/1000, NLL=1.0418
  Pretrain (Boltzmann β=1.0) epoch 220/1000, NLL=1.0850
  Pretrain (Boltzmann β=1.0) epoch 225/1000, NLL=0.6017
  Pretrain (Boltzmann β=1.0) epoch 230/1000, NLL=0.8631
  Pretrain (Boltzmann β=1.0) epoch 235/1000, NLL=0.7229
  Pretrain (Boltzmann β=1.0) epoch 240/1000, NLL=0.8591
  Pretrain (Boltzmann β=1.0) epoch 245/1000, NLL=0.7137
  Pretrain (Boltzmann β=1.0) epoch 250/1000, NLL=0.6983
  Pretrain (Boltzmann β=1.0) epoch 255/1000, NLL=0.6505
  Pretrain (Boltzmann β=1.0) epoch 260/1000, NLL=0.7180
  Pretrain (Boltzmann β=1.0) epoch 265/1000, NLL=0.6861
  Pretrain (Boltzmann β=1.0) epoch 270/1000, NLL=0.7535
  Pretrain (Boltzmann β=1.0) epoch 275/1000, NLL=0.7420
  Pretrain (Boltzmann β=1.0) epoch 280/1000, NLL=0.4274
  Pretrain (Boltzmann β=1.0) epoch 285/1000, NLL=0.4369
  Pretrain (Boltzmann β=1.0) epoch 290/1000, NLL=0.6418
  Pretrain (Boltzmann β=1.0) epoch 295/1000, NLL=0.5725
  Pretrain (Boltzmann β=1.0) epoch 300/1000, NLL=0.6583
  Pretrain (Boltzmann β=1.0) epoch 305/1000, NLL=0.5897
  Pretrain (Boltzmann β=1.0) epoch 310/1000, NLL=0.5469
  Pretrain (Boltzmann β=1.0) epoch 315/1000, NLL=0.3256
  Pretrain (Boltzmann β=1.0) epoch 320/1000, NLL=0.4735
  Pretrain (Boltzmann β=1.0) epoch 325/1000, NLL=0.4752
  Pretrain (Boltzmann β=1.0) epoch 330/1000, NLL=0.5068
  Pretrain (Boltzmann β=1.0) epoch 335/1000, NLL=0.3683
  Pretrain (Boltzmann β=1.0) epoch 340/1000, NLL=0.6564
  Pretrain (Boltzmann β=1.0) epoch 345/1000, NLL=0.5798
  Pretrain (Boltzmann β=1.0) epoch 350/1000, NLL=0.3404
  Pretrain (Boltzmann β=1.0) epoch 355/1000, NLL=0.3318
  Pretrain (Boltzmann β=1.0) epoch 360/1000, NLL=0.3236
  Pretrain (Boltzmann β=1.0) epoch 365/1000, NLL=0.3749
  Pretrain (Boltzmann β=1.0) epoch 370/1000, NLL=0.4472
  Pretrain (Boltzmann β=1.0) epoch 375/1000, NLL=0.4657
  Pretrain (Boltzmann β=1.0) epoch 380/1000, NLL=0.3921
  Pretrain (Boltzmann β=1.0) epoch 385/1000, NLL=0.5861
  Pretrain (Boltzmann β=1.0) epoch 390/1000, NLL=0.4485
  Pretrain (Boltzmann β=1.0) epoch 395/1000, NLL=0.3767
  Pretrain (Boltzmann β=1.0) epoch 400/1000, NLL=0.4067
  Pretrain (Boltzmann β=1.0) epoch 405/1000, NLL=0.5157
  Pretrain (Boltzmann β=1.0) epoch 410/1000, NLL=0.3921
  Pretrain (Boltzmann β=1.0) epoch 415/1000, NLL=0.4914
  Pretrain (Boltzmann β=1.0) epoch 420/1000, NLL=0.3770
  Pretrain (Boltzmann β=1.0) epoch 425/1000, NLL=0.3143
  Pretrain (Boltzmann β=1.0) epoch 430/1000, NLL=0.2890
  Pretrain (Boltzmann β=1.0) epoch 435/1000, NLL=0.2521
  Pretrain (Boltzmann β=1.0) epoch 440/1000, NLL=0.3894
  Pretrain (Boltzmann β=1.0) epoch 445/1000, NLL=0.5331
  Pretrain (Boltzmann β=1.0) epoch 450/1000, NLL=0.6115
  Pretrain (Boltzmann β=1.0) epoch 455/1000, NLL=0.5863
  Pretrain (Boltzmann β=1.0) epoch 460/1000, NLL=0.4064
  Pretrain (Boltzmann β=1.0) epoch 465/1000, NLL=0.4116
  Pretrain (Boltzmann β=1.0) epoch 470/1000, NLL=0.5173
  Pretrain (Boltzmann β=1.0) epoch 475/1000, NLL=0.2756
  Pretrain (Boltzmann β=1.0) epoch 480/1000, NLL=0.3579
  Pretrain (Boltzmann β=1.0) epoch 485/1000, NLL=0.3082
  Pretrain (Boltzmann β=1.0) epoch 490/1000, NLL=0.2752
  Pretrain (Boltzmann β=1.0) epoch 495/1000, NLL=0.1444
  Pretrain (Boltzmann β=1.0) epoch 500/1000, NLL=0.0651
  Pretrain (Boltzmann β=1.0) epoch 505/1000, NLL=0.1482
  Pretrain (Boltzmann β=1.0) epoch 510/1000, NLL=0.1847
  Pretrain (Boltzmann β=1.0) epoch 515/1000, NLL=0.3822
